RaceId,Season,StartDate,Location,DisciplineId,DisciplineLabel,GenderLabel,IsRelay,NrShootings,FullName,Shootings,RankInt,total_misses,total_penalties,total_spares,miss_1,miss_2,miss_3,miss_4,penalty_1,penalty_2,penalty_3,penalty_4
BT1718SWRLCP01MXSR,1718,2017-11-26,Swedish National Biathlon Arena,SR,Single Mixed Relay,Mixed,TRUE,2,Andrzej NEDZA-KUBINIEC,0+0 0+3,14,3,0,3,0,3,NA,NA,0,0,NA,NA
BT1718SWRLCP01MXSR,1718,2017-11-26,Swedish National Biathlon Arena,SR,Single Mixed Relay,Mixed,TRUE,2,Magdalena GWIZDON,0+2 0+2,14,4,0,4,2,2,NA,NA,0,0,NA,NA
BT1718SWRLCP01MXSR,1718,2017-11-26,Swedish National Biathlon Arena,SR,Single Mixed Relay,Mixed,TRUE,2,Andrzej NEDZA-KUBINIEC,0+1 0+2,14,3,0,3,1,2,NA,NA,0,0,NA,NA
BT1718SWRLCP01MXSR,1718,2017-11-26,Swedish National Biathlon Arena,SR,Single Mixed Relay,Mixed,TRUE,2,Regina ERMITS,0+2 0+0,15,2,0,2,2,0,NA,NA,0,0,NA,NA
BT1718SWRLCP01MXSR,1718,2017-11-26,Swedish National Biathlon Arena,SR,Single Mixed Relay,Mixed,TRUE,2,Rene ZAHKNA,1+3 0+1,15,5,1,4,4,1,NA,NA,1,0,NA,NA
BT1718SWRLCP01MXSR,1718,2017-11-26,Swedish National Biathlon Arena,SR,Single Mixed Relay,Mixed,TRUE,2,Regina ERMITS,0+1 0+0,15,1,0,1,1,0,NA,NA,0,0,NA,NA
BT1718SWRLCP01MXSR,1718,2017-11-26,Swedish National Biathlon Arena,SR,Single Mixed Relay,Mixed,TRUE,2,Rene ZAHKNA,0+1 0+0,15,1,0,1,1,0,NA,NA,0,0,NA,NA
BT1718SWRLCP01MXSR,1718,2017-11-26,Swedish National Biathlon Arena,SR,Single Mixed Relay,Mixed,TRUE,2,Ekaterina AVVAKUMOVA,0+1 0+2,16,3,0,3,1,2,NA,NA,0,0,NA,NA
BT1718SWRLCP01MXSR,1718,2017-11-26,Swedish National Biathlon Arena,SR,Single Mixed Relay,Mixed,TRUE,2,Jongmin KIM,0+0 0+1,16,1,0,1,0,1,NA,NA,0,0,NA,NA
BT1718SWRLCP01MXSR,1718,2017-11-26,Swedish National Biathlon Arena,SR,Single Mixed Relay,Mixed,TRUE,2,Ekaterina AVVAKUMOVA,0+3 0+1,16,4,0,4,3,1,NA,NA,0,0,NA,NA
BT1718SWRLCP01MXSR,1718,2017-11-26,Swedish National Biathlon Arena,SR,Single Mixed Relay,Mixed,TRUE,2,Jongmin KIM,1+3 0+1,16,5,1,4,4,1,NA,NA,1,0,NA,NA
BT1718SWRLCP01MXSR,1718,2017-11-26,Swedish National Biathlon Arena,SR,Single Mixed Relay,Mixed,TRUE,2,Irene CADURISCH,2+3 1+3,17,9,3,6,5,4,NA,NA,2,1,NA,NA
BT1718SWRLCP01MXSR,1718,2017-11-26,Swedish National Biathlon Arena,SR,Single Mixed Relay,Mixed,TRUE,2,Mario DOLDER,0+2 1+3,17,6,1,5,2,4,NA,NA,0,1,NA,NA
BT1718SWRLCP01MXSR,1718,2017-11-26,Swedish National Biathlon Arena,SR,Single Mixed Relay,Mixed,TRUE,2,Irene CADURISCH,2+3 0+1,17,6,2,4,5,1,NA,NA,2,0,NA,NA
BT1718SWRLCP01MXSR,1718,2017-11-26,Swedish National Biathlon Arena,SR,Single Mixed Relay,Mixed,TRUE,2,Mario DOLDER,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT1718SWRLCP01MXSR,1718,2017-11-26,Swedish National Biathlon Arena,SR,Single Mixed Relay,Mixed,TRUE,2,Stefani POPOVA,0+0 0+2,18,2,0,2,0,2,NA,NA,0,0,NA,NA
BT1718SWRLCP01MXSR,1718,2017-11-26,Swedish National Biathlon Arena,SR,Single Mixed Relay,Mixed,TRUE,2,Anton SINAPOV,0+0 0+3,18,3,0,3,0,3,NA,NA,0,0,NA,NA
BT1718SWRLCP01MXSR,1718,2017-11-26,Swedish National Biathlon Arena,SR,Single Mixed Relay,Mixed,TRUE,2,Stefani POPOVA,1+3 1+3,18,8,2,6,4,4,NA,NA,1,1,NA,NA
BT1718SWRLCP01MXSR,1718,2017-11-26,Swedish National Biathlon Arena,SR,Single Mixed Relay,Mixed,TRUE,2,Anton SINAPOV,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT1718SWRLCP01MXSR,1718,2017-11-26,Swedish National Biathlon Arena,SR,Single Mixed Relay,Mixed,TRUE,2,Emily DREISSIGACKER,0+0 0+3,19,3,0,3,0,3,NA,NA,0,0,NA,NA
BT1718SWRLCP01MXSR,1718,2017-11-26,Swedish National Biathlon Arena,SR,Single Mixed Relay,Mixed,TRUE,2,Leif NORDGREN,0+0 0+1,19,1,0,1,0,1,NA,NA,0,0,NA,NA
BT1718SWRLCP01MXSR,1718,2017-11-26,Swedish National Biathlon Arena,SR,Single Mixed Relay,Mixed,TRUE,2,Emily DREISSIGACKER,1+3 1+3,19,8,2,6,4,4,NA,NA,1,1,NA,NA
BT1718SWRLCP01MXSR,1718,2017-11-26,Swedish National Biathlon Arena,SR,Single Mixed Relay,Mixed,TRUE,2,Leif NORDGREN,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT1718SWRLCP01MXSR,1718,2017-11-26,Swedish National Biathlon Arena,SR,Single Mixed Relay,Mixed,TRUE,2,Natalija PAULAUSKAITE,0+1 0+2,20,3,0,3,1,2,NA,NA,0,0,NA,NA
BT1718SWRLCP01MXSR,1718,2017-11-26,Swedish National Biathlon Arena,SR,Single Mixed Relay,Mixed,TRUE,2,Vytautas STROLIA,0+3 1+3,20,7,1,6,3,4,NA,NA,0,1,NA,NA
BT1718SWRLCP01MXSR,1718,2017-11-26,Swedish National Biathlon Arena,SR,Single Mixed Relay,Mixed,TRUE,2,Natalija PAULAUSKAITE,0+2 1+3,20,6,1,5,2,4,NA,NA,0,1,NA,NA
BT1718SWRLCP01MXSR,1718,2017-11-26,Swedish National Biathlon Arena,SR,Single Mixed Relay,Mixed,TRUE,2,Vytautas STROLIA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
